cod_municipio_ibge,nome_municipio,uf,estado,mesorregiao,regiao_brasil,regiao_imediata,regiao_intermediaria
1200013,Acrelândia,AC,Acre,Vale do Acre,Norte,Rio Branco,Rio Branco
1200054,Assis Brasil,AC,Acre,Vale do Acre,Norte,Brasiléia,Rio Branco
1200104,Brasiléia,AC,Acre,Vale do Acre,Norte,Brasiléia,Rio Branco
1200138,Bujari,AC,Acre,Vale do Acre,Norte,Rio Branco,Rio Branco
1200179,Capixaba,AC,Acre,Vale do Acre,Norte,Rio Branco,Rio Branco
1200203,Cruzeiro do Sul,AC,Acre,Vale do Juruá,Norte,Cruzeiro do Sul,Cruzeiro do Sul
1200252,Epitaciolândia,AC,Acre,Vale do Acre,Norte,Brasiléia,Rio Branco
1200302,Feijó,AC,Acre,Vale do Juruá,Norte,Tarauacá,Cruzeiro do Sul
1200328,Jordão,AC,Acre,Vale do Juruá,Norte,Tarauacá,Cruzeiro do Sul
1200336,Mâncio Lima,AC,Acre,Vale do Juruá,Norte,Cruzeiro do Sul,Cruzeiro do Sul
1200344,Manoel Urbano,AC,Acre,Vale do Acre,Norte,Sena Madureira,Rio Branco
1200351,Marechal Thaumaturgo,AC,Acre,Vale do Juruá,Norte,Cruzeiro do Sul,Cruzeiro do Sul
1200385,Plácido de Castro,AC,Acre,Vale do Acre,Norte,Rio Branco,Rio Branco
1200393,Porto Walter,AC,Acre,Vale do Juruá,Norte,Cruzeiro do Sul,Cruzeiro do Sul
1200401,Rio Branco,AC,Acre,Vale do Acre,Norte,Rio Branco,Rio Branco
1200427,Rodrigues Alves,AC,Acre,Vale do Juruá,Norte,Cruzeiro do Sul,Cruzeiro do Sul
1200435,Santa Rosa do Purus,AC,Acre,Vale do Acre,Norte,Sena Madureira,Rio Branco
1200450,Senador Guiomard,AC,Acre,Vale do Acre,Norte,Rio Branco,Rio Branco
1200500,Sena Madureira,AC,Acre,Vale do Acre,Norte,Sena Madureira,Rio Branco
1200609,Tarauacá,AC,Acre,Vale do Juruá,Norte,Tarauacá,Cruzeiro do Sul
1200708,Xapuri,AC,Acre,Vale do Acre,Norte,Brasiléia,Rio Branco
1200807,Porto Acre,AC,Acre,Vale do Acre,Norte,Rio Branco,Rio Branco
2700102,Água Branca,AL,Alagoas,Sertão Alagoano,Nordeste,Delmiro Gouveia,Arapiraca
2700201,Anadia,AL,Alagoas,Leste Alagoano,Nordeste,São Miguel dos Campos,Maceió
2700300,Arapiraca,AL,Alagoas,Agreste Alagoano,Nordeste,Arapiraca,Arapiraca
2700409,Atalaia,AL,Alagoas,Leste Alagoano,Nordeste,Atalaia,Maceió
2700508,Barra de Santo Antônio,AL,Alagoas,Leste Alagoano,Nordeste,Maceió,Maceió
2700607,Barra de São Miguel,AL,Alagoas,Leste Alagoano,Nordeste,Maceió,Maceió
2700706,Batalha,AL,Alagoas,Sertão Alagoano,Nordeste,Pão de Açúcar - Olho d'Água das Flores ¿ Batalha,Arapiraca
2700805,Belém,AL,Alagoas,Agreste Alagoano,Nordeste,Palmeira dos Índios,Arapiraca
2700904,Belo Monte,AL,Alagoas,Sertão Alagoano,Nordeste,Pão de Açúcar - Olho d'Água das Flores ¿ Batalha,Arapiraca
2701001,Boca da Mata,AL,Alagoas,Leste Alagoano,Nordeste,São Miguel dos Campos,Maceió
2701100,Branquinha,AL,Alagoas,Leste Alagoano,Nordeste,União dos Palmares,Maceió
2701209,Cacimbinhas,AL,Alagoas,Agreste Alagoano,Nordeste,Palmeira dos Índios,Arapiraca
2701308,Cajueiro,AL,Alagoas,Leste Alagoano,Nordeste,Atalaia,Maceió
