ano,cod_produto,produto,uf,estado,municipio,qtd_produzida_ton,area_colhida_ha,valor_producao_reais
2015,41151,Laranja,SP,São Paulo,araraquara,59762,3040,30576052
2016,41151,Laranja,SP,São Paulo,Araraquara,48091,3032,42397746
2017,41151,Laranja,SP,São Paulo,Araraquara,51414,3440,51776257
2018,41151,Laranja,SP,São Paulo,Araraquara,48244,3127,33152480
2019,41151,Laranja,SP,São Paulo,Araraquara,63018,2934,39987607
2020,41151,Laranja,SP,São Paulo,Araraquara,58316,3378,69289742
2021,41151,Laranja,SP,São Paulo,Araraquara,49333,3111,46182601
2022,41151,Laranja,SP,São Paulo,Araraquara,50813,3179,31298687
2023,41151,Laranja,SP,São Paulo,Araraquara,47410,3410,49497777
2015,41155,Limão,SP,São Paulo,Araraquara,11734,2754,14578234
2016,41155,Limão,SP,São Paulo,ARARAQUARA,13717,2492,12441991
2017,41155,Limão,SP,São Paulo,Araraquara,10604,2608,18121293
2018,41155,Limão,SP,São Paulo,Araraquara,14006,2727,8628724
2019,41155,Limão,SP,São Paulo,Araraquara,10612,2510,13108082
2020,41155,Limão,SP,São Paulo,Araraquara,13776,2732,14021525
2021,41155,Limão,SP,São Paulo,Araraquara,13246,,7958205
2022,41155,Limão,SP,São Paulo,ARARAQUARA,11386,2319,20827424
2023,41155,Limão,SP,São Paulo,Araraquara,13175,2679,10273180
2015,41176,Tangerina,SP,São Paulo,Araraquara,2456,676,3925003
2016,41176,Tangerina,SP,São Paulo,Araraquara,2082,595,
2017,41176,Tangerina,SP,São Paulo,Araraquara,1949,590,2071007
2018,41176,Tangerina,SP,São Paulo,Araraquara,2550,661,2397500
2019,41176,Tangerina,SP,São Paulo,Araraquara,2202,699,1488198
2020,41176,Tangerina,SP,São Paulo,Araraquara,1980,611,2674584
2021,41176,Tangerina,SP,São Paulo,Araraquara,2495,698,
2022,41176,Tangerina,SP,São Paulo,ARARAQUARA,2074,639,2642072
2023,41176,Tangerina,SP,São Paulo,Araraquara,2187,707,3716109
2015,41160,Pomelo,SP,São Paulo,ARARAQUARA,1000,121,681876
2016,41160,Pomelo,SP,São Paulo,ARARAQUARA,-,139,1483308
2017,41160,Pomelo,SP,São Paulo,Araraquara,1243,126,
2018,41160,Pomelo,SP,São Paulo,Araraquara,1136,124,1096321
2019,41160,Pomelo,SP,São Paulo,Araraquara,-,140,2093390
2020,41160,Pomelo,SP,São Paulo,Araraquara,979,125,681685
2021,41160,Pomelo,SP,São Paulo,Araraquara,1287,136,1725245
2022,41160,Pomelo,SP,São Paulo,Araraquara,1027,139,1683646
2023,41160,Pomelo,SP,São Paulo,araraquara,1240,129,1179946
2015,41151,Laranja,SP,São Paulo,BEBEDOURO,88762,3877,
2016,41151,Laranja,SP,São Paulo,Bebedouro,95558,4399,79931613
2017,41151,Laranja,SP,São Paulo,Bebedouro,95997,4312,104498692
2018,41151,Laranja,SP,São Paulo,Bebedouro,95587,3994,85696537
2019,41151,Laranja,SP,São Paulo,Bebedouro,95512,3684,94485396
2020,41151,Laranja,SP,São Paulo,Bebedouro,78532,4304,38203972
2021,41151,Laranja,SP,São Paulo,Bebedouro,,4311,46328624
2022,41151,Laranja,SP,São Paulo,Bebedouro,88883,3989,105319222
2023,41151,Laranja,SP,São Paulo,Bebedouro,97753,3880,47578539
2015,41155,Limão,SP,São Paulo,Bebedouro,16084,2600,19469368
